date,META,AAPL,AMZN,NFLX,GOOGL,NVDA,AZN
2023-08-15,301.950000,177.450000,137.670000,42.370000,129.780000,43.940000,137.560000
2023-08-16,294.290000,176.570000,135.070000,41.545000,128.700000,43.486000,137.560000
2023-08-17,285.090000,174.000000,133.980000,40.300000,129.920000,43.343500,137.474900
2023-08-18,283.250000,174.490000,133.220000,40.453000,127.460000,43.299000,136.030000
2023-08-21,289.900000,175.840000,134.680000,40.829000,128.370000,46.967000,136.950000
2023-08-22,287.600000,177.230000,134.250000,41.317000,129.080000,45.668000,135.800000
2023-08-23,294.240000,181.120000,135.520000,42.755000,132.370000,47.116000,139.350000
2023-08-24,286.750000,176.380000,131.840000,40.693000,129.780000,47.163000,136.000000
2023-08-25,285.500000,178.610000,133.260000,41.603000,129.880000,46.018000,135.971000
2023-08-28,290.260000,180.190000,133.140000,41.806000,131.010000,46.835000,136.640000
2023-08-29,297.990000,184.120000,134.910000,42.999000,134.570000,48.784000,139.100000
2023-08-30,295.100000,187.650000,135.070000,43.467000,135.880000,49.264000,136.725000
2023-08-31,295.890000,187.870000,138.010000,43.368000,136.170000,49.355000,134.039900
2023-09-01,296.380000,189.460000,138.120000,43.988000,135.660000,48.509000,136.000000
2023-09-05,300.150000,189.700000,137.270000,44.868000,135.770000,48.548000,133.900000
2023-09-06,299.170000,182.910000,135.360000,44.576000,134.460000,47.061000,133.900000
2023-09-07,298.670000,177.560000,137.850000,44.314000,135.260000,46.241000,134.680000
2023-09-08,297.890000,178.180000,138.230000,44.280000,136.380000,45.572000,135.700000
2023-09-11,307.560000,179.360000,143.100000,44.536000,136.920000,45.178000,135.700000
2023-09-12,301.660000,176.300000,141.230000,43.469000,135.340000,44.870000,132.225000
2023-09-13,305.060000,174.210000,144.850000,41.224000,136.710000,45.485000,130.080000
2023-09-14,311.720000,175.740000,144.720000,40.049000,138.100000,45.581000,133.000000
2023-09-15,300.310000,175.010000,140.390000,39.694000,137.400000,43.900000,138.280000
2023-09-18,302.550000,177.970000,139.980000,39.440000,138.210000,43.966000,131.454900
2023-09-19,305.070000,179.070000,137.630000,39.620000,138.040000,43.520000,130.675000
2023-09-20,299.670000,175.490000,135.290000,38.630000,133.740000,42.239000,136.340000
2023-09-21,295.730000,173.930000,129.330000,38.415000,130.440000,41.017000,133.950000
2023-09-22,299.080000,174.790000,129.120000,37.981000,130.250000,41.610000,137.930000
2023-09-25,300.830000,176.080000,131.270000,38.480000,131.110000,42.222000,136.990000
2023-09-26,298.960000,171.960000,125.980000,37.925000,128.565000,41.911000,134.949900
2023-09-27,297.740000,170.430000,125.980000,37.759000,130.540000,42.468000,133.160000
2023-09-28,303.960000,170.690000,125.980000,37.636000,132.310000,43.089000,136.150000
2023-09-29,300.210000,171.210000,127.120000,37.760000,130.860000,43.499000,135.050000
2023-10-02,306.820000,173.750000,129.460000,38.033000,134.170000,44.782000,133.100000
2023-10-03,300.940000,172.400000,124.720000,37.675000,132.430000,43.517000,132.930000
2023-10-04,305.580000,173.660000,127.000000,37.690000,135.240000,44.041000,134.150000
2023-10-05,304.790000,174.910000,125.960000,37.259000,135.070000,44.688000,134.900000
2023-10-06,315.430000,177.490000,127.960000,38.151000,137.580000,45.762000,133.479900
2023-10-09,318.360000,178.990000,128.260000,38.595000,138.420000,45.273000,134.140000
2023-10-10,321.840000,178.390000,129.480000,37.332000,138.060000,45.798000,134.380000
2023-10-11,327.820000,179.800000,131.830000,36.593000,140.550000,46.806000,133.972000
2023-10-12,324.160000,180.710000,132.330000,36.120000,138.970000,46.945000,135.500000
2023-10-13,314.690000,178.850000,129.790000,35.568000,137.360000,45.461000,135.500000
2023-10-16,321.150000,178.720000,132.550000,36.082000,139.095000,46.095000,134.160000
2023-10-17,324.000000,177.150000,131.470000,35.572000,139.720000,43.938000,137.050000
2023-10-18,316.970000,175.840000,128.130000,34.619000,137.960000,42.196000,130.890000
2023-10-19,312.810000,175.460000,128.400000,40.177000,137.750000,42.101000,127.580000
2023-10-20,308.650000,172.880000,125.170000,40.096000,135.600000,41.387000,127.860000
2023-10-23,314.010000,173.000000,126.560000,40.684000,136.500000,42.975000,123.750000
2023-10-24,312.550000,173.440000,128.560000,41.373000,138.810000,43.663000,127.150000
2023-10-25,299.530000,171.100000,121.390000,41.125000,125.610000,41.779000,126.445000
2023-10-26,288.350000,166.890000,119.570000,40.354000,122.280000,40.326000,125.275000
2023-10-27,296.730000,168.220000,127.740000,39.787000,122.170000,40.500000,121.450000
2023-10-30,302.660000,170.290000,132.710000,41.008000,124.460000,41.161000,123.975000
2023-10-31,301.270000,170.770000,133.090000,41.169000,124.080000,40.780000,122.759900
2023-11-01,311.850000,173.970000,137.000000,42.019000,126.450000,42.325000,128.580000
2023-11-02,310.870000,177.570000,138.070000,42.471000,127.490000,43.506000,126.819900
2023-11-03,314.600000,176.650000,138.600000,43.236000,129.100000,45.005000,126.300000
2023-11-06,315.800000,179.230000,139.740000,43.474000,130.250000,45.751000,126.819900
2023-11-07,318.820000,181.820000,142.710000,43.461000,130.970000,45.955000,125.250000
2023-11-08,319.780000,182.890000,142.080000,43.665000,131.840000,46.574000,125.080000
2023-11-09,320.550000,182.410000,140.600000,43.515000,130.240000,46.950000,126.870000
2023-11-10,328.770000,186.400000,143.560000,44.724000,132.590000,48.335000,124.285000
2023-11-13,329.190000,184.800000,142.590000,44.462000,132.090000,48.620000,124.750000
2023-11-14,336.310000,187.440000,145.800000,44.865000,133.620000,49.656000,125.800000
2023-11-15,332.710000,188.010000,143.200000,46.194000,134.620000,48.888000,125.160000
2023-11-16,334.190000,189.710000,142.830000,46.695000,136.930000,49.480000,125.150000
2023-11-17,335.040000,189.690000,145.180000,46.591000,135.310000,49.298000,128.000000
2023-11-20,339.970000,191.450000,146.130000,47.447000,136.250000,50.409000,126.140000
2023-11-21,336.980000,190.640000,143.900000,47.495000,136.970000,49.944000,125.642000
2023-11-22,341.490000,191.310000,146.710000,47.800000,138.490000,48.716000,126.540000
2023-11-24,338.230000,189.970000,146.740000,47.956000,136.690000,47.776000,128.550000
2023-11-27,334.700000,189.790000,147.730000,47.917000,136.410000,48.242000,128.760000
2023-11-28,338.990000,190.400000,147.030000,47.900000,137.200000,47.821000,124.959900
2023-11-29,332.200000,189.370000,146.320000,47.719000,134.990000,48.140000,126.819900
2023-11-30,327.150000,189.950000,146.090000,47.397000,132.530000,46.770000,128.500000
2023-12-01,324.820000,191.240000,147.030000,46.574000,131.860000,46.765000,125.000000
2023-12-04,320.020000,189.430000,144.840000,45.390000,129.270000,45.510000,128.520000
2023-12-05,318.290000,193.420000,146.880000,45.515000,130.990000,46.566000,125.750000
2023-12-06,317.450000,192.320000,144.520000,44.673000,130.020000,45.503000,125.500000
2023-12-07,326.590000,194.270000,146.880000,45.200000,136.930000,46.596000,125.400000
2023-12-08,332.750000,195.710000,147.420000,45.376000,134.990000,47.506000,125.060000
2023-12-11,325.280000,193.180000,145.890000,45.989000,133.290000,46.627000,125.200000
2023-12-12,334.220000,194.710000,147.480000,46.300000,132.520000,47.657000,126.480000
